Vol;Compagnie;Heure_Arrivee;Passagers;Taux_Transit;Temps_Escale_Min;Passagers_Transit;Passagers_Terminus
KP963;ASKY Airlines;19:35;186;0.1;75;19;167
TK647;Turkish Airlines;05:45;190;0.56;105;106;84
AF981;Air France;10:10;157;0.55;40;86;71
ET136;Ethiopian Airlines;04:40;265;0.47;75;125;140
AS113;ASKY Airlines;11:00;332;0.6;30;199;133
KP734;ASKY Airlines;00:25;315;0.08;75;25;290
KP258;ASKY Airlines;18:45;172;0.19;40;33;139
HF593;Air C̫te d'Ivoire;10:05;209;0.27;40;56;153
ET428;Ethiopian Airlines;14:45;262;0.15;75;39;223
AF713;Air France;15:40;113;0.54;90;61;52
KP182;ASKY Airlines;02:40;301;0.5;45;150;151
TK655;Turkish Airlines;10:35;80;0.51;30;41;39
HF679;Air C̫te d'Ivoire;10:50;176;0.22;50;39;137
AS668;ASKY Airlines;09:30;166;0.51;120;85;81
KP121;ASKY Airlines;01:25;331;0.12;45;40;291
AS564;ASKY Airlines;19:05;94;0.11;105;10;84
AS401;ASKY Airlines;04:15;221;0.4;40;88;133
ET366;Ethiopian Airlines;22:45;149;0.08;45;12;137
KP494;ASKY Airlines;22:30;133;0.61;120;81;52
AS345;ASKY Airlines;07:25;331;0.25;40;83;248
ET667;Ethiopian Airlines;12:40;326;0.34;40;111;215
AS344;ASKY Airlines;14:20;213;0.54;75;115;98
KP209;ASKY Airlines;01:55;323;0.29;50;94;229
AS493;ASKY Airlines;11:55;318;0.31;50;99;219
ET509;Ethiopian Airlines;23:25;96;0.26;45;25;71
AT747;Royal Air Maroc;07:45;312;0.26;120;81;231
KP107;ASKY Airlines;20:25;233;0.33;90;77;156
ET543;Ethiopian Airlines;18:35;265;0.62;30;164;101
ET427;Ethiopian Airlines;22:35;162;0.61;150;99;63
KP389;ASKY Airlines;00:25;134;0.38;105;51;83
ET862;Ethiopian Airlines;07:35;141;0.32;150;45;96
KP460;ASKY Airlines;09:30;138;0.53;105;73;65
KP698;ASKY Airlines;12:00;221;0.46;150;102;119
TK815;Turkish Airlines;04:20;228;0.58;50;132;96
TK318;Turkish Airlines;21:50;253;0.49;30;124;129
AT505;Royal Air Maroc;08:45;141;0.62;35;87;54
AS852;ASKY Airlines;09:45;246;0.58;35;143;103
KP931;ASKY Airlines;13:45;249;0.56;60;139;110
AF869;Air France;23:20;182;0.28;120;51;131
KP867;ASKY Airlines;10:45;107;0.28;105;30;77
KP893;ASKY Airlines;13:40;163;0.49;40;80;83
ET319;Ethiopian Airlines;02:30;213;0.1;90;21;192
KP206;ASKY Airlines;20:30;138;0.24;35;33;105
SN680;Brussels Airlines;15:45;169;0.61;50;103;66
KP823;ASKY Airlines;19:05;149;0.32;45;48;101
AF385;Air France;16:35;264;0.21;50;55;209
KP107;ASKY Airlines;04:10;139;0.34;45;47;92
ET905;Ethiopian Airlines;06:40;224;0.22;30;49;175
ET288;Ethiopian Airlines;16:25;247;0.51;30;126;121
KP207;ASKY Airlines;19:40;145;0.56;60;81;64
TK420;Turkish Airlines;21:40;203;0.52;90;106;97
AT678;Royal Air Maroc;10:30;292;0.14;75;41;251
SN785;Brussels Airlines;11:45;261;0.25;45;65;196
HF445;Air Cote d'Ivoire;23:55;150;0.18;50;27;123
ET962;Ethiopian Airlines;01:35;123;0.08;90;10;113
SN427;Brussels Airlines;18:05;274;0.49;60;134;140
KP798;ASKY Airlines;04:20;136;0.31;90;42;94
AS299;ASKY Airlines;10:10;136;0.22;60;30;106
KP518;ASKY Airlines;22:00;250;0.23;90;58;192
KP831;ASKY Airlines;18:25;162;0.13;45;21;141
KP103;ASKY Airlines;06:55;173;0.55;120;95;78
KP947;ASKY Airlines;20:40;346;0.14;35;48;298
